"game_id","stadium","given_date","given_time","given_lat","given_lon","timestamp_lcl","temperature_air_2m_f","temperature_wetbulb_2m_f","temperature_dewpoint_2m_f","temperature_feelslike_2m_f","temperature_windchill_2m_f","temperature_heatindex_2m_f","humidity_relative_2m_pct","humidity_specific_2m_gpkg","pressure_2m_mb","pressure_mean_sea_level_mb","wind_speed_10m_mph","wind_direction_10m_deg","precipitation_in","snowfall_in","cloud_cover_pct"
"200610290cle","Cleveland Browns Stadium","2006-10-28","04:16:00","41.5061","-81.6995","2006-10-28 16:00:00","43","40.2","37","30.1","30.1","43","79","4.8","973.2","994.7","42","280","0.06","0","100"
"200409260mia","Pro Player Stadium","2004-09-25","08:36:00","25.958","-80.2389","2004-09-25 21:00:00","77","76.2","75.9","83","77","83","96","19.4","994.3","994.5","30","260","0.09","0","100"
"200212150sfo","3Com Park","2002-12-14","04:15:00","37.7159","-122.388","2002-12-14 13:00:00","60.1","56.4","54","60.1","60.1","60.1","80","8.8","1005.2","1005.7","28","150","0.05","0","100"
"200311300rav","M&T Bank Stadium","2003-11-29","01:02:00","39.278","-76.6227","2003-11-29 13:00:00","43","35.3","23","32.5","32.5","43","45","2.6","1003.5","1009.3","26","270","0","0","88"
"200410170cle","Cleveland Browns Stadium","2004-10-16","01:03:00","41.5061","-81.6995","2004-10-16 13:00:00","55.9","44.8","32","50.1","50.1","55.9","40","3.9","976.6","997.8","26","230","0","0","88"
"200110070cle","Cleveland Browns Stadium","2001-10-06","01:02:00","41.5061","-81.6995","2001-10-06 13:00:00","61","49.3","37.9","61","61","61","42","4.9","994.2","1015.9","25","260","0","0","88"
"200601010sfo","Monster Park","2005-12-31","04:05:00","37.7138","-122.385","2005-12-31 13:00:00","57.9","55.6","54","53.1","53.1","57.9","87","8.8","1005.8","1006.4","24","260","0.01","0","88"
"200610290gnb","Lambeau Field","2006-10-28","01:02:00","44.5013","-88.0622","2006-10-28 12:00:00","46.9","37.7","24.1","38.4","38.4","46.9","40","2.8","976.9","1001.9","23","300","0","0","0"
"200112230kan","Arrowhead Stadium","2001-12-22","01:00:00","39.0489","-94.4839","2001-12-22 12:00:00","55.9","48.2","41","50.5","50.5","55.9","57","5.6","973.8","1001.6","23","240","0","0","50"
"200012170nor","Louisiana Superdome","2000-12-16","01:03:00","29.9511","-90.0812","2000-12-16 12:00:00","77","70.8","68","80.2","77","80.2","74","14.5","1011.5","1011.9","23","210","0","0","88"
"200612030buf","Ralph Wilson Stadium","2006-12-02","01:02:00","42.7738","-78.787","2006-12-02 13:00:00","35.1","30.1","21","22.7","22.7","35.1","56","2.4","996.4","1024.1","22","250","0","0","100"
"200109300jax","Alltel Stadium","2001-09-29","04:15:00","30.324","-81.6373","2001-09-29 16:00:00","72","65.5","62.1","76.3","72","76.3","71","11.8","1012.4","1012.8","22","20","0","0","88"
"200510160pit","Heinz Field","2005-10-15","01:02:00","40.4468","-80.0158","2005-10-15 13:00:00","66","55.1","46.9","66","66","66","50","7.1","966.3","1010.1","21","300","0","0","50"
"200512240den","Invesco Field at Mile High","2005-12-23","04:15:00","39.7439","-105.02","2005-12-23 14:00:00","53.6","37.6","14","47.7","47.7","53.6","20","2.2","819.1","1010.9","21","280","0","0","50"
"200311230crd","Sun Devil Stadium","2003-11-22","04:06:00","33.4265","-111.933","2003-11-22 14:00:00","63","43.2","10.9","63","63","63","13","1.6","972.1","1010.8","21","280","0","0","0"
"200010150buf","Ralph Wilson Stadium","2000-10-14","01:01:00","42.7738","-78.787","2000-10-14 13:00:00","68","56","46.9","68","68","68","47","6.9","989.5","1015.4","21","240","0","0","88"
"200612240buf","Ralph Wilson Stadium","2006-12-23","01:02:00","42.7738","-78.787","2006-12-23 13:00:00","44.1","40.3","36","35","35","44.1","73","4.6","980.1","1007.2","21","220","0","0","100"
"200610010cin","Paul Brown Stadium","2006-09-30","04:15:00","39.0955","-84.5161","2006-09-30 16:00:00","66","57.2","51.1","66","66","66","59","8.1","993","1010.2","21","220","0","0","25"
"200110140oti","Adelphia Coliseum","2001-10-13","01:04:00","36.1664","-86.7712","2001-10-13 12:00:00","75","68.2","64.9","78.1","75","78.1","71","13.4","986.4","1007.1","21","160","0","0","100"
"200010290sfo","3Com Park","2000-10-28","04:05:00","37.7159","-122.388","2000-10-28 13:00:00","59","57.8","57","54.9","54.9","59","93","9.8","1011.3","1011.9","21","150","0.04","0","100"
"200201060nor","Louisiana Superdome","2002-01-05","12:03:00","29.9511","-90.0812","2002-01-05 11:00:00","60.1","52.8","46.9","60.1","60.1","60.1","62","6.7","1017.9","1018.3","21","150","0","0","88"
"200510090cle","Cleveland Browns Stadium","2005-10-08","01:03:00","41.5061","-81.6995","2005-10-08 13:00:00","53.1","50.8","48.9","47","47","53.1","86","7.4","992.9","1014.7","21","30","0","0","100"
"200309280min","Hubert H. Humphrey Metrodome","2003-09-27","01:03:00","44.9709","-93.2548","2003-09-27 12:00:00","50","43.7","37","43.1","43.1","50","61","4.8","977.7","1008.1","20","310","0","0","100"
"200610290chi","Soldier Field","2006-10-28","01:03:00","41.8623","-87.6167","2006-10-28 12:00:00","48.9","38.5","23","41.6","41.6","48.9","36","2.7","983.4","1006.3","20","300","0","0","50"
"200210200cle","Cleveland Browns Stadium","2002-10-19","04:05:00","41.5061","-81.6995","2002-10-19 16:00:00","52","45.9","39.9","45.7","45.7","52","63","5.3","990.5","1012.3","20","270","0","0","50"
"200411070buf","Ralph Wilson Stadium","2004-11-06","01:02:00","42.7738","-78.787","2004-11-06 13:00:00","50","45.9","42.1","43.1","43.1","50","74","5.8","979","1004.9","20","230","0","0","100"
"200412050det","Ford Field","2004-12-04","01:03:00","42.34","-83.0456","2004-12-04 13:00:00","42.1","37","30","32.6","32.6","42.1","62","3.6","982.6","1006.1","20","220","0","0","50"
"200609240clt","RCA Dome","2006-09-23","01:02:00","39.7581","-86.1579","2006-09-23 13:00:00","66.9","65","64","66.9","66.9","66.9","90","13.1","977.1","1005.2","20","170","0.06","0","100"
"200112020sea","Husky Stadium","2001-12-01","04:05:00","47.6504","-122.302","2001-12-01 13:00:00","50","45","39.9","43.1","43.1","50","68","5.3","986.1","986.7","20","170","0","0","100"
"200111250clt","RCA Dome","2001-11-24","01:00:00","39.7581","-86.1579","2001-11-24 13:00:00","60.1","58.7","57.9","60.1","60.1","60.1","93","10.6","973.1","1001.8","20","150","0.13","0","100"
"200110140clt","RCA Dome","2001-10-13","08:30:00","39.7581","-86.1579","2001-10-13 19:00:00","68","65.3","64","68","68","68","87","13.2","971.4","999.6","20","150","0.01","0","100"
"200410170chi","Soldier Field","2004-10-16","01:03:00","41.8623","-87.6167","2004-10-16 12:00:00","46","38.1","27","38","38","46","47","3.2","979.6","1002.3","19","290","0","0","100"
"200209150sfo","3Com Park","2002-09-14","04:00:00","37.7159","-122.388","2002-09-14 13:00:00","63","57.6","54","63","63","63","72","8.8","1014","1014.6","19","280","0","0","88"
"200011200ram","TWA Dome","2000-11-19","09:08:00","38.6328","-90.1885","2000-11-19 20:00:00","45","36.2","21.9","36.6","36.6","45","40","2.5","1002.2","1017.3","19","280","0","0","88"
